[Strings]
nth  paddr      vaddr      len size section type    string
141  0x00051b3c 0x08099b3c 24  25   .rodata ascii   ANSI_X3.4-1968//TRANSLIT
142  0x00051b5c 0x08099b5c 9   10   .rodata ascii   Universal
143  0x00051b66 0x08099b66 14  15   .rodata ascii   /etc/localtime
144  0x00051b79 0x08099b79 10  11   .rodata ascii   %[^0-9,+-]
145  0x00051b84 0x08099b84 11  12   .rodata ascii   %hu:%hu:%hu
146  0x00051b90 0x08099b90 14  15   .rodata ascii   M%hu.%hu.%hu%n
147  0x00051b9f 0x08099b9f 13  14   .rodata ascii   __tzfile_read
148  0x00051bad 0x08099bad 19  20   .rodata ascii   /usr/share/zoneinfo
149  0x00051bc1 0x08099bc1 16  17   .rodata ascii   __tzfile_compute
150  0x00051bd6 0x08099bd6 5   6    .rodata ascii   TZDIR
151  0x00051bdf 0x08099bdf 14  15   .rodata ascii   num_types == 1
152  0x00051bee 0x08099bee 8   9    .rodata ascii   tzfile.c
153  0x00051bf7 0x08099bf7 10  11   .rodata ascii   posixrules
154  0x00051c02 0x08099c02 8   9    .rodata ascii   %Y-%m-%d
155  0x00051c0b 0x08099c0b 8   9    .rodata ascii   %m/%d/%y
156  0x00051c14 0x08099c14 5   6    .rodata ascii   %H:%M
157  0x00051c1a 0x08099c1a 8   9    .rodata ascii   %H:%M:%S
158  0x00051c23 0x08099c23 11  12   .rodata ascii   %I:%M:%S %p
159  0x00051e1b 0x08099e1b 16  17   .rodata ascii   \b/proc/self/maps
160  0x00051e34 0x08099e34 5   6    .rodata ascii   /lib/
161  0x00051e3a 0x08099e3a 9   10   .rodata ascii   /usr/lib/
162  0x00051e44 0x08099e44 27  28   .rodata ascii   expand_dynamic_string_token
163  0x00051e60 0x08099e60 18  19   .rodata ascii   add_name_to_object
164  0x00051e76 0x08099e76 14  15   .rodata ascii   _dl_init_paths
165  0x00051e85 0x08099e85 4   5    .rodata ascii   lose
166  0x00051e8a 0x08099e8a 20  21   .rodata ascii   elf_get_dynamic_info
167  0x00051e9f 0x08099e9f 11  12   .rodata ascii   open_verify
168  0x00051ec4 0x08099ec4 14  15   .rodata ascii   _dl_map_object
169  0x00051ed8 0x08099ed8 6   7    .rodata ascii   ORIGIN
170  0x00051edf 0x08099edf 8   9    .rodata ascii   PLATFORM
171  0x00051ef0 0x08099ef0 22  23   .rodata ascii   (l)->l_name[0] == '\0'
172  0x00051f07 0x08099f07 9   10   .rodata ascii   dl-load.c
173  0x00051f11 0x08099f11 27  28   .rodata ascii   cannot allocate name record
174  0x00051f2d 0x08099f2d 20  21   .rodata ascii   lastp != ((void *)0)
175  0x00051f44 0x08099f44 18  19   .rodata ascii   system search path
176  0x00051f5a 0x08099f5a 24  25   .rodata ascii   pelem->dirname[0] == '/'
177  0x00051f73 0x08099f73 24  25   .rodata ascii   l->l_next == ((void *)0)
178  0x00051f8c 0x08099f8c 22  23   .rodata ascii   cannot handle TLS data
179  0x00051fa3 0x08099fa3 21  22   .rodata ascii   cannot read file data
180  0x00051fb9 0x08099fb9 28  29   .rodata ascii   cannot close file descriptor
181  0x00051fd6 0x08099fd6 26  27   .rodata ascii   cannot map zero-fill pages
182  0x00051ff1 0x08099ff1 14  15   .rodata ascii   dynamic-link.h
183  0x00052000 0x0809a000 25  26   .rodata ascii   cannot stat shared object
184  0x0005201a 0x0809a01a 24  25   .rodata ascii   cannot create searchlist
185  0x00052033 0x0809a033 18  19   .rodata ascii   invalid ELF header
186  0x00052046 0x0809a046 23  24   .rodata ascii   ELF file OS ABI invalid
187  0x0005205e 0x0809a05e 28  29   .rodata ascii   ELF file ABI version invalid
188  0x0005207b 0x0809a07b 14  15   .rodata ascii   internal error
189  0x0005208a 0x0809a08a 14  15   .rodata ascii   file too short
190  0x00052099 0x0809a099 17  18   .rodata ascii     trying file=%s\n
191  0x000520ab 0x0809a0ab 13  14   .rodata ascii    search path=
192  0x000520bd 0x0809a0bd 20  21   .rodata ascii   \t\t(%s from file %s)\n
193  0x000520d2 0x0809a0d2 7   8    .rodata ascii   \t\t(%s)\n
194  0x000520da 0x0809a0da 5   6    .rodata ascii   RPATH
195  0x000520e0 0x0809a0e0 7   8    .rodata ascii   RUNPATH
196  0x000520e8 0x0809a0e8 9   10   .rodata ascii   nsid >= 0
197  0x000520f2 0x0809a0f2 8   9    .rodata ascii   nsid < 1
198  0x000520fc 0x0809a0fc 35  36   .rodata ascii   cannot create cache for search path
199  0x00052120 0x0809a120 32  33   .rodata ascii   cannot create RUNPATH/RPATH copy
200  0x00052144 0x0809a144 31  32   .rodata ascii   cannot create search path array
201  0x00052164 0x0809a164 38  39   .rodata ascii   cannot create shared object descriptor
202  0x0005218c 0x0809a18c 40  41   .rodata ascii   failed to map segment from shared object
203  0x000521b8 0x0809a1b8 36  37   .rodata ascii   object file has no loadable segments
204  0x000521e0 0x0809a1e0 34  35   .rodata ascii   object file has no dynamic section
205  0x00052204 0x0809a204 41  42   .rodata ascii   cannot allocate memory for program header
206  0x00052230 0x0809a230 42  43   .rodata ascii   info[19]->d_un.d_val == sizeof (Elf32_Rel)
207  0x0005225c 0x0809a25c 42  43   .rodata ascii   info[9]->d_un.d_val == sizeof (Elf32_Rela)
208  0x00052288 0x0809a288 36  37   .rodata ascii   file=%s [%lu];  generating link map\n
209  0x000522b0 0x0809a2b0 43  44   .rodata ascii   ELF load command alignment not page-aligned
210  0x000522dc 0x0809a2dc 52  53   .rodata ascii   ELF load command address/offset not properly aligned
211  0x00052314 0x0809a314 99  100  .rodata ascii     dynamic: 0x%0*lx  base: 0x%0*lx   size: 0x%0*Zx\n    entry: 0x%0*lx  phdr: 0x%0*lx  phnum:   %*u\n\n
212  0x00052378 0x0809a378 56  57   .rodata ascii   cannot enable executable stack as shared object requires
213  0x000523b4 0x0809a3b4 34  35   .rodata ascii   shared object cannot be dlopen()ed
214  0x000523d8 0x0809a3d8 55  56   .rodata ascii   info[20]->d_un.d_val == 17 || info[20]->d_un.d_val == 7
215  0x00052410 0x0809a410 32  33   .rodata ascii   cannot change memory protections
216  0x00052434 0x0809a434 34  35   .rodata ascii   cannot dynamically load executable
217  0x00052458 0x0809a458 43  44   .rodata ascii   ELF file version does not match current one
218  0x00052484 0x0809a484 42  43   .rodata ascii   ELF file's phentsize not the expected size
219  0x000524b0 0x0809a4b0 40  41   .rodata ascii   ELF file data encoding not little-endian
220  0x000524dc 0x0809a4dc 49  50   .rodata ascii   ELF file version ident does not match current one
221  0x00052510 0x0809a510 37  38   .rodata ascii   only ET_DYN and ET_EXEC can be loaded
222  0x00052538 0x0809a538 36  37   .rodata ascii   \nfile=%s [%lu];  needed by %s [%lu]\n
223  0x00052560 0x0809a560 33  34   .rodata ascii   find library=%s [%lu]; searching\n
224  0x00052584 0x0809a584 30  31   .rodata ascii   cannot open shared object file
225  0x000525a3 0x0809a5a3 21  22   .rodata ascii   _dl_load_cache_lookup
226  0x000525b9 0x0809a5b9 16  17   .rodata ascii   /etc/ld.so.cache
227  0x000525ca 0x0809a5ca 20  21   .rodata ascii   glibc-ld.so.cache1.1
228  0x000525df 0x0809a5df 20  21   .rodata ascii   cache != ((void *)0)
229  0x000525f4 0x0809a5f4 29  30   .rodata ascii   ../sysdeps/generic/dl-cache.c
230  0x00052612 0x0809a612 11  12   .rodata ascii   ld.so-1.7.0
231  0x0005261e 0x0809a61e 17  18   .rodata ascii    search cache=%s\n
232  0x00052630 0x0809a630 18  19   .rodata ascii   undefined symbol: 
233  0x00052643 0x0809a643 11  12   .rodata ascii   do_lookup_x
234  0x0005264f 0x0809a64f 19  20   .rodata ascii   _dl_lookup_symbol_x
235  0x00052664 0x0809a664 30  31   .rodata ascii   symbol=%s;  lookup in file=%s\n
236  0x00052684 0x0809a684 79  80   .rodata ascii   version->filename == ((void *)0) || ! _dl_name_match_p (version->filename, map)
237  0x000526d4 0x0809a6d4 73  74   .rodata ascii   version == ((void *)0) || flags == 0 || flags == DL_LOOKUP_ADD_DEPENDENCY
238  0x00052720 0x0809a720 37  38   .rodata ascii   binding file %s to %s: %s symbol `%s'
239  0x00052748 0x0809a748 61  62   .rodata ascii   \nfile=%s [%lu];  needed by %s [%lu] (relocation dependency)\n\n
240  0x00052786 0x0809a786 11  12   .rodata ascii   do-lookup.h
241  0x00052792 0x0809a792 11  12   .rodata ascii   dl-lookup.c
242  0x0005279e 0x0809a79e 7   8    .rodata ascii   symbol 
243  0x000527a6 0x0809a7a6 10  11   .rodata ascii   , version 
244  0x000527b1 0x0809a7b1 21  22   .rodata ascii    not defined in file 
245  0x000527c7 0x0809a7c7 25  26   .rodata ascii    with link time reference
246  0x000527e1 0x0809a7e1 21  22   .rodata ascii    (no version symbols)
247  0x000527f7 0x0809a7f7 14  15   .rodata ascii   <main program>
248  0x00052806 0x0809a806 16  17   .rodata ascii   relocation error
249  0x00052817 0x0809a817 19  20   .rodata ascii   symbol lookup error
250  0x0005282b 0x0809a82b 21  22   .rodata ascii   i < (*scope)->r_nlist
251  0x00052841 0x0809a841 9   10   .rodata ascii   protected
252  0x0005284b 0x0809a84b 6   7    .rodata ascii   normal
253  0x00052852 0x0809a852 6   7    .rodata ascii    [%s]\n
254  0x00052859 0x0809a859 22  23   .rodata ascii   version != ((void *)0)
255  0x00052870 0x0809a870 13  14   .rodata ascii   out of memory
256  0x0005287e 0x0809a87e 21  22   .rodata ascii   DYNAMIC LINKER BUG!!!
257  0x00052897 0x0809a897 22  23   .rodata ascii   <program name unknown>
258  0x000528ae 0x0809a8ae 19  20   .rodata ascii   %s: %s: %s%s%s%s%s\n
259  0x000528c2 0x0809a8c2 9   10   .rodata ascii   continued
260  0x000528cc 0x0809a8cc 5   6    .rodata ascii   fatal
261  0x000528d2 0x0809a8d2 23  24   .rodata ascii   %s: error: %s: %s (%s)\n
262  0x000528ec 0x0809a8ec 36  37   .rodata ascii   error while loading shared libraries
263  0x00052911 0x0809a911 18  19   .rodata ascii   _dl_debug_vdprintf
264  0x00052924 0x0809a924 9   10   .rodata ascii   niov < 64
265  0x0005292e 0x0809a92e 9   10   .rodata ascii   dl-misc.c
266  0x00052938 0x0809a938 28  29   .rodata ascii   ! "invalid format specifier"
267  0x00052958 0x0809a958 31  32   .rodata ascii   pid >= 0 && sizeof (pid_t) <= 4
268  0x00052978 0x0809a978 14  15   .rodata ascii   _dl_get_origin
269  0x00052987 0x0809a987 14  15   .rodata ascii   /proc/self/exe
270  0x00052996 0x0809a996 17  18   .rodata ascii   linkval[0] == '/'
271  0x000529a8 0x0809a9a8 38  39   .rodata ascii   ../sysdeps/unix/sysv/linux/dl-origin.c
272  0x000529cf 0x0809a9cf 23  24   .rodata ascii   UCS-4// ISO-10646/UCS4/
273  0x000529e7 0x0809a9e7 25  26   .rodata ascii   UCS-4BE// ISO-10646/UCS4/
274  0x00052a01 0x0809aa01 24  25   .rodata ascii   CSUCS4// ISO-10646/UCS4/
275  0x00052a1a 0x0809aa1a 27  28   .rodata ascii   ISO-10646// ISO-10646/UCS4/
276  0x00052a36 0x0809aa36 29  30   .rodata ascii   OSF00010104// ISO-10646/UCS4/
